id,torre,piso,numero_puerta,apartamento,tipo_apartamento,area_m2,precio_cop,estado,fecha_venta,fecha_entrega,forma_pago,porcentaje_credito,monto_credito_cop,monto_contado_cop
1,Torre 2,11,5,Torre 2 Apto 1105,2 Alcobas,74,682500000,Disponible,,2027-08-16,,,,
2,Torre 1,6,2,Torre 1 Apto 602,1 Alcoba,47,350200000,Disponible,,2027-10-31,,,,
3,Torre 4,6,4,Torre 4 Apto 604,Penthouse,149,1357700000,Disponible,,2026-10-07,,,,
4,Torre 1,20,3,Torre 1 Apto 2003,Apartaestudio,38,351400000,Disponible,,2027-01-02,,,,
5,Torre 1,19,5,Torre 1 Apto 1905,Penthouse,138,1253900000,Disponible,,2027-10-04,,,,
6,Torre 3,21,5,Torre 3 Apto 2105,1 Alcoba,49,394000000,Vendido,2025-10-17,2026-09-11,Crédito,55,216700000,177300000
7,Torre 3,6,1,Torre 3 Apto 601,2 Alcobas,76,609600000,Vendido,2025-11-08,2026-10-24,Crédito,40,243800000,365800000
8,Torre 4,10,3,Torre 4 Apto 1003,3 Alcobas,96,753300000,Disponible,,2028-04-11,,,,
9,Torre 1,18,2,Torre 1 Apto 1802,1 Alcoba,53,419900000,Disponible,,2027-04-11,,,,
10,Torre 3,13,1,Torre 3 Apto 1301,1 Alcoba,58,437200000,Vendido,2025-08-04,2027-03-12,Crédito,39,170500000,266700000
11,Torre 4,21,4,Torre 4 Apto 2104,3 Alcobas,109,1032700000,Disponible,,2026-10-15,,,,
12,Torre 2,17,3,Torre 2 Apto 1703,Penthouse,157,1450000000,Disponible,,2026-11-09,,,,
13,Torre 4,21,5,Torre 4 Apto 2105,1 Alcoba,46,380300000,Vendido,2026-04-03,2028-05-11,Crédito,51,194000000,186300000
14,Torre 3,19,2,Torre 3 Apto 1902,Apartaestudio,33,298800000,Vendido,2026-07-17,2027-10-11,Crédito,54,161400000,137400000
15,Torre 3,19,3,Torre 3 Apto 1903,2 Alcobas,60,531900000,Disponible,,2027-05-24,,,,
16,Torre 4,14,4,Torre 4 Apto 1404,2 Alcobas,70,540100000,Disponible,,2028-05-04,,,,
17,Torre 2,7,4,Torre 2 Apto 704,2 Alcobas,76,629200000,Vendido,2025-07-16,2027-06-12,Crédito,41,258000000,371200000
18,Torre 3,4,5,Torre 3 Apto 405,Apartaestudio,30,280200000,Disponible,,2027-08-07,,,,
19,Torre 3,8,6,Torre 3 Apto 806,Penthouse,123,1016700000,Disponible,,2027-09-25,,,,
20,Torre 4,4,2,Torre 4 Apto 402,1 Alcoba,56,411500000,Vendido,2025-07-06,2028-06-29,Contado,0,0,411500000
21,Torre 4,3,5,Torre 4 Apto 305,Penthouse,172,1240700000,Vendido,2026-06-22,2026-11-21,Crédito,58,719600000,521100000
22,Torre 4,7,5,Torre 4 Apto 705,3 Alcobas,109,760300000,Vendido,2026-07-07,2028-05-11,Crédito,69,524600000,235700000
23,Torre 4,13,3,Torre 4 Apto 1303,2 Alcobas,80,740900000,Disponible,,2027-07-03,,,,
24,Torre 2,18,6,Torre 2 Apto 1806,2 Alcobas,81,595200000,Vendido,2026-02-12,2027-12-28,Crédito,36,214300000,380900000
25,Torre 3,2,5,Torre 3 Apto 205,Penthouse,180,1200400000,Disponible,,2028-04-13,,,,
26,Torre 1,4,5,Torre 1 Apto 405,1 Alcoba,55,445900000,Disponible,,2027-04-17,,,,
27,Torre 4,1,2,Torre 4 Apto 102,Apartaestudio,32,224400000,Vendido,2026-05-28,2027-03-05,Contado,0,0,224400000
28,Torre 4,15,2,Torre 4 Apto 1502,Penthouse,154,1379900000,Disponible,,2027-01-20,,,,
29,Torre 2,20,6,Torre 2 Apto 2006,1 Alcoba,57,409300000,Disponible,,2026-12-22,,,,
30,Torre 2,8,5,Torre 2 Apto 805,2 Alcobas,69,636700000,Vendido,2026-03-31,2028-03-13,Crédito,67,426600000,210100000
31,Torre 1,22,5,Torre 1 Apto 2205,Penthouse,163,1461600000,Vendido,2025-06-29,2027-04-29,Contado,0,0,1461600000
32,Torre 2,17,6,Torre 2 Apto 1706,3 Alcobas,93,812800000,Vendido,2026-01-02,2027-06-15,Crédito,54,438900000,373900000
